/usr/bin/tiff2pdf 755 root root 84664 regular file -rwxr-xr-x
/usr/bin/btgatt-client 755 root root 121456 regular file -rwxr-xr-x
/usr/bin/c++filt 755 root root 18528 regular file -rwxr-xr-x
/usr/bin/meld 755 root root 15847 regular file -rwxr-xr-x
/usr/bin/powerline-render 755 root root 885 regular file -rwxr-xr-x
/usr/bin/lpinfo 755 root root 14376 regular file -rwxr-xr-x
/usr/bin/ncdu 755 root root 530160 regular file -rwxr-xr-x
/usr/bin/mk_cmds 755 root root 1104 regular file -rwxr-xr-x
/usr/bin/mount.ecryptfs_private 6755 root root 22560 regular file -rwsr-sr-x
/usr/bin/skdump 755 root root 18448 regular file -rwxr-xr-x
/usr/bin/drbl-cp-user 777 root root 8 symbolic link lrwxrwxrwx
/usr/bin/glilypond 755 root root 45813 regular file -rwxr-xr-x
/usr/bin/plymouth 755 root root 46944 regular file -rwxr-xr-x
/usr/bin/cupsenable 777 root root 10 symbolic link lrwxrwxrwx
/usr/bin/bluemoon 755 root root 39032 regular file -rwxr-xr-x
/usr/bin/xfs_fsr 755 root root 43080 regular file -rwxr-xr-x
/usr/bin/mmc-tool 755 root root 22568 regular file -rwxr-xr-x
/usr/bin/infocmp 755 root root 63600 regular file -rwxr-xr-x
/usr/bin/rndc-confgen 755 root root 22576 regular file -rwxr-xr-x
/usr/bin/linux64 777 root root 7 symbolic link lrwxrwxrwx
/usr/bin/xtables-legacy-multi 755 root root 86736 regular file -rwxr-xr-x
/usr/bin/xapp-gpu-offload 755 root root 2751 regular file -rwxr-xr-x
/usr/bin/omxregister-bellagio 755 root root 18488 regular file -rwxr-xr-x
/usr/bin/pdfunite 755 root root 39120 regular file -rwxr-xr-x
/usr/bin/tv_device 755 root root 43136 regular file -rwxr-xr-x
/usr/bin/grub-mklayout 755 root root 120368 regular file -rwxr-xr-x
/usr/bin/rofi 755 root root 555328 regular file -rwxr-xr-x
/usr/bin/nmtui-hostname 777 root root 5 symbolic link lrwxrwxrwx
/usr/bin/lou_checktable 755 root root 14440 regular file -rwxr-xr-x
/usr/bin/gtk3-nocsd 755 root root 3335 regular file -rwxr-xr-x
/usr/bin/fzf 755 root root 4216800 regular file -rwxr-xr-x
/usr/bin/drbl-3n-conf 755 root root 2515 regular file -rwxr-xr-x
/usr/bin/eglkms 755 root root 18472 regular file -rwxr-xr-x
/usr/bin/nl 755 root root 39232 regular file -rwxr-xr-x
/usr/bin/ldd 755 root root 5432 regular file -rwxr-xr-x
/usr/bin/smartd 755 root root 531344 regular file -rwxr-xr-x
/usr/bin/ndptool 755 root root 22648 regular file -rwxr-xr-x
/usr/bin/tpm2_changeeps 777 root root 4 symbolic link lrwxrwxrwx
/usr/bin/wvunpack 755 root root 79968 regular file -rwxr-xr-x
/usr/bin/libpng16-config 755 root root 2321 regular file -rwxr-xr-x
/usr/bin/isnsdd 755 root root 35248 regular file -rwxr-xr-x
/usr/bin/rsvg-convert 755 root root 6171344 regular file -rwxr-xr-x
/usr/bin/init 777 root root 22 symbolic link lrwxrwxrwx
/usr/bin/pg_receivewal 755 root root 84752 regular file -rwxr-xr-x
/usr/bin/readlink 755 root root 39048 regular file -rwxr-xr-x
/usr/bin/lz4c 777 root root 3 symbolic link lrwxrwxrwx
/usr/bin/ssh-keyscan 755 root root 366776 regular file -rwxr-xr-x
/usr/bin/iptables 777 root root 20 symbolic link lrwxrwxrwx
/usr/bin/mmroff 755 root root 4060 regular file -rwxr-xr-x
/usr/bin/rlogin 755 root root 55888 regular file -rwxr-xr-x
/usr/bin/g++ 755 root root 2177088 regular file -rwxr-xr-x
/usr/bin/xset 755 root root 34856 regular file -rwxr-xr-x
/usr/bin/avifenc 755 root root 108584 regular file -rwxr-xr-x
/usr/bin/vpxenc 755 root root 265584 regular file -rwxr-xr-x
/usr/bin/rankmirrors 755 root root 7744 regular file -rwxr-xr-x
/usr/bin/gpg-connect-agent 755 root root 85048 regular file -rwxr-xr-x
/usr/bin/plparse 755 root root 15840 regular file -rwxr-xr-x
/usr/bin/ddjvu 755 root root 96952 regular file -rwxr-xr-x
/usr/bin/mount.ntfs-3g 777 root root 16 symbolic link lrwxrwxrwx
/usr/bin/mpv 755 root root 2723736 regular file -rwxr-xr-x
/usr/bin/lzdiff 777 root root 6 symbolic link lrwxrwxrwx
/usr/bin/ModemManager 755 root root 2259520 regular file -rwxr-xr-x
/usr/bin/nl-list-caches 755 root root 14464 regular file -rwxr-xr-x
/usr/bin/exrenvmap 755 root root 55520 regular file -rwxr-xr-x
/usr/bin/bashbug 555 root root 7307 regular file -r-xr-xr-x
/usr/bin/sndfile-play 755 root root 30744 regular file -rwxr-xr-x
/usr/bin/psfstriptable 777 root root 9 symbolic link lrwxrwxrwx
/usr/bin/downgrade 755 root root 13849 regular file -rwxr-xr-x
/usr/bin/sg_sat_read_gplog 755 root root 22632 regular file -rwxr-xr-x
/usr/bin/grub-macbless 755 root root 1378064 regular file -rwxr-xr-x
/usr/bin/spirv-objdump 755 root root 146576 regular file -rwxr-xr-x
/usr/bin/gi-decompile-typelib 755 root root 43144 regular file -rwxr-xr-x
/usr/bin/drbl-doit 755 root root 10893 regular file -rwxr-xr-x
/usr/bin/plymouthd 755 root root 145512 regular file -rwxr-xr-x
/usr/bin/rtstat 777 root root 6 symbolic link lrwxrwxrwx
/usr/bin/mariadb-ldb 755 root root 3735760 regular file -rwxr-xr-x
/usr/bin/xzmore 755 root root 2234 regular file -rwxr-xr-x
/usr/bin/fftwl-wisdom 755 root root 36704 regular file -rwxr-xr-x
/usr/bin/info 755 root root 231008 regular file -rwxr-xr-x
/usr/bin/gdk-pixbuf-csource 755 root root 14408 regular file -rwxr-xr-x
/usr/bin/dvcont 755 root root 18376 regular file -rwxr-xr-x
/usr/bin/iptables-apply 755 root root 7044 regular file -rwxr-xr-x
/usr/bin/update-ca-trust 755 root root 3426 regular file -rwxr-xr-x
/usr/bin/hexdump 755 root root 43136 regular file -rwxr-xr-x
/usr/bin/cacaserver 755 root root 14352 regular file -rwxr-xr-x
/usr/bin/unzipsfx 755 root root 75944 regular file -rwxr-xr-x
/usr/bin/vacuumdb 755 root root 64624 regular file -rwxr-xr-x
/usr/bin/gsnd 755 root root 277 regular file -rwxr-xr-x
/usr/bin/sginfo 755 root root 77536 regular file -rwxr-xr-x
/usr/bin/ocs-restore-mdisks 755 root root 15343 regular file -rwxr-xr-x
/usr/bin/core_perl 755 root root 4096 directory drwxr-xr-x
/usr/bin/core_perl/cpan 755 root root 8360 regular file -rwxr-xr-x
/usr/bin/core_perl/pod2html 755 root root 4041 regular file -rwxr-xr-x
/usr/bin/core_perl/shasum 755 root root 9982 regular file -rwxr-xr-x
/usr/bin/core_perl/perlivp 755 root root 10816 regular file -rwxr-xr-x
/usr/bin/core_perl/corelist 755 root root 15375 regular file -rwxr-xr-x
/usr/bin/core_perl/encguess 755 root root 3065 regular file -rwxr-xr-x
/usr/bin/core_perl/prove 755 root root 13677 regular file -rwxr-xr-x
/usr/bin/core_perl/ptargrep 755 root root 4395 regular file -rwxr-xr-x
/usr/bin/core_perl/perldoc 755 root root 262 regular file -rwxr-xr-x
/usr/bin/core_perl/piconv 755 root root 8360 regular file -rwxr-xr-x
/usr/bin/core_perl/ptar 755 root root 3566 regular file -rwxr-xr-x
/usr/bin/core_perl/h2xs 755 root root 60934 regular file -rwxr-xr-x
/usr/bin/core_perl/streamzip 755 root root 8061 regular file -rwxr-xr-x
/usr/bin/core_perl/perlbug 755 root root 45589 regular file -rwxr-xr-x
/usr/bin/core_perl/zipdetails 755 root root 236604 regular file -rwxr-xr-x
/usr/bin/core_perl/libnetcfg 755 root root 15778 regular file -rwxr-xr-x
/usr/bin/core_perl/pod2man 755 root root 18898 regular file -rwxr-xr-x
/usr/bin/core_perl/pod2text 755 root root 13112 regular file -rwxr-xr-x
/usr/bin/core_perl/podchecker 755 root root 3730 regular file -rwxr-xr-x
/usr/bin/core_perl/instmodsh 755 root root 4290 regular file -rwxr-xr-x
/usr/bin/core_perl/enc2xs 755 root root 41886 regular file -rwxr-xr-x
/usr/bin/core_perl/json_pp 755 root root 4992 regular file -rwxr-xr-x
/usr/bin/core_perl/perlthanks 755 root root 45589 regular file -rwxr-xr-x
/usr/bin/core_perl/pod2usage 755 root root 4107 regular file -rwxr-xr-x
/usr/bin/core_perl/ptardiff 755 root root 2645 regular file -rwxr-xr-x
/usr/bin/core_perl/xsubpp 755 root root 5167 regular file -rwxr-xr-x
/usr/bin/core_perl/pl2pm 755 root root 4536 regular file -rwxr-xr-x
/usr/bin/core_perl/splain 755 root root 19459 regular file -rwxr-xr-x
